CMDLINE python example_L2T_STARS_with_download.py
MEM 2059.281250 1733254016.4140
MEM 2059.281250 1733254016.5145
MEM 2059.281250 1733254016.6197
MEM 2059.281250 1733254016.7250
MEM 2059.281250 1733254016.8299
MEM 2059.281250 1733254016.9351
MEM 2059.281250 1733254017.0403
MEM 2059.281250 1733254017.1455
MEM 2059.281250 1733254017.2465
MEM 2059.281250 1733254017.3488
MEM 2059.281250 1733254017.4540
MEM 2059.281250 1733254017.5593
MEM 2059.281250 1733254017.6645
MEM 2080.734375 1733254017.7679
MEM 2084.843750 1733254017.8732
MEM 2084.843750 1733254017.9751
MEM 2104.515625 1733254018.0803
MEM 2110.406250 1733254018.1856
MEM 2110.406250 1733254018.2908
MEM 2126.500000 1733254018.3960
MEM 2135.968750 1733254018.5012
MEM 2135.968750 1733254018.6064
MEM 2155.640625 1733254018.7116
MEM 2161.531250 1733254018.8168
MEM 2161.531250 1733254018.9220
MEM 2187.093750 1733254019.0272
MEM 2187.093750 1733254019.1325
MEM 2192.453125 1733254019.2375
MEM 2212.125000 1733254019.3427
MEM 2212.656250 1733254019.4431
MEM 2212.656250 1733254019.5483
MEM 2238.218750 1733254019.6535
MEM 2263.781250 1733254019.7587
MEM 2263.781250 1733254019.8592
MEM 2263.781250 1733254019.9644
MEM 2263.781250 1733254020.0697
MEM 2263.781250 1733254020.1749
MEM 2263.781250 1733254020.2793
MEM 2263.781250 1733254020.3845
MEM 2263.781250 1733254020.4877
MEM 2275.531250 1733254020.5900
MEM 2275.531250 1733254020.6953
MEM 2275.531250 1733254020.8005
MEM 2275.531250 1733254020.9011
MEM 2275.531250 1733254021.0064
MEM 2275.531250 1733254021.1119
MEM 2275.531250 1733254021.2153
MEM 2275.531250 1733254021.3202
MEM 2275.531250 1733254021.4255
MEM 2275.531250 1733254021.5274
MEM 2275.531250 1733254021.6317
MEM 2275.531250 1733254021.7357
MEM 2275.531250 1733254021.8408
MEM 2275.531250 1733254021.9461
MEM 2275.531250 1733254022.0462
MEM 2281.031250 1733254022.1481
MEM 2281.031250 1733254022.2491
MEM 2281.031250 1733254022.3543
MEM 2281.031250 1733254022.4595
MEM 2281.031250 1733254022.5638
MEM 2281.031250 1733254022.6690
MEM 2281.031250 1733254022.7743
MEM 2281.031250 1733254022.8795
MEM 2281.031250 1733254022.9844
MEM 2281.031250 1733254023.0896
MEM 2281.031250 1733254023.1949
MEM 2281.031250 1733254023.3001
MEM 2281.031250 1733254023.4053
MEM 2281.031250 1733254023.5105
MEM 2281.031250 1733254023.6158
MEM 2281.031250 1733254023.7210
MEM 2281.031250 1733254023.8262
MEM 2281.031250 1733254023.9311
MEM 2281.031250 1733254024.0363
MEM 2281.031250 1733254024.1415
MEM 2281.062500 1733254024.2429
MEM 2281.062500 1733254024.3480
MEM 2281.062500 1733254024.4532
MEM 2281.062500 1733254024.5547
MEM 2281.062500 1733254024.6601
MEM 2281.062500 1733254024.7630
MEM 2281.062500 1733254024.8682
MEM 2281.062500 1733254024.9737
MEM 2281.062500 1733254025.0788
MEM 2281.062500 1733254025.1829
MEM 2281.062500 1733254025.2836
MEM 2281.062500 1733254025.3857
MEM 2282.437500 1733254025.4909
MEM 2284.437500 1733254025.5911
MEM 2284.437500 1733254025.6963
MEM 2284.437500 1733254025.8015
MEM 2284.437500 1733254025.9067
MEM 2284.437500 1733254026.0119
MEM 2284.437500 1733254026.1142
MEM 2284.437500 1733254026.2194
MEM 2284.437500 1733254026.3247
MEM 2284.437500 1733254026.4300
MEM 2284.437500 1733254026.5352
MEM 2284.437500 1733254026.6381
MEM 2284.437500 1733254026.7433
MEM 2284.437500 1733254026.8474
MEM 2284.437500 1733254026.9495
MEM 2284.437500 1733254027.0547
MEM 2284.437500 1733254027.1600
MEM 2284.437500 1733254027.2652
MEM 2284.437500 1733254027.3657
MEM 2284.437500 1733254027.4709
MEM 2284.437500 1733254027.5725
MEM 2284.437500 1733254027.6729
MEM 2284.437500 1733254027.7735
MEM 2284.437500 1733254027.8787
MEM 2284.437500 1733254027.9811
MEM 2284.437500 1733254028.0862
MEM 2284.437500 1733254028.1915
MEM 2284.437500 1733254028.2967
MEM 2284.437500 1733254028.3991
MEM 2284.437500 1733254028.5043
MEM 2284.437500 1733254028.6096
MEM 2284.437500 1733254028.7148
MEM 2284.437500 1733254028.8200
MEM 2284.437500 1733254028.9252
MEM 2284.437500 1733254029.0296
MEM 2284.437500 1733254029.1307
MEM 2284.437500 1733254029.2360
MEM 2284.437500 1733254029.3412
MEM 2284.437500 1733254029.4464
MEM 2284.437500 1733254029.5516
MEM 2284.437500 1733254029.6568
MEM 2284.437500 1733254029.7619
MEM 2284.437500 1733254029.8660
MEM 2284.437500 1733254029.9680
